model,fold,rmse,mae,r2,mape
LightGBM,1,6480.2689397227805,3778.841133588764,0.7099468009704623,54.91275511874154
LightGBM,2,6577.722962811966,3772.5723669172785,0.7021068037848688,53.971912477457906
LightGBM,3,6490.624271626607,3755.5499699392826,0.7151744841438121,54.37390712481858
LightGBM,4,6560.053009245725,3809.880905516753,0.6980098936854062,55.964898780784914
LightGBM,5,6434.164673542904,3718.434013125354,0.7145211013404407,52.161880891130494
CatBoost,1,6477.53001154366,3763.9619182003685,0.7101919349305176,54.33230804136361
CatBoost,2,6571.501044188358,3737.907804243613,0.7026700961677848,52.74956493720304
CatBoost,3,6475.682682194515,3745.499150731479,0.716484326562586,53.87371907327706
CatBoost,4,6561.368042472973,3769.5964360834155,0.6978888072162155,54.45950251680192
CatBoost,5,6426.503547813796,3728.427198652771,0.7152005330206884,52.4933346302909
TabNet,1,6502.42578125,3751.75537109375,0.7079599634822462,52.50406265258789
TabNet,2,6595.4853515625,3650.006103515625,0.7004957612878914,49.63994026184082
TabNet,3,6511.71240234375,3766.705322265625,0.7133206665406155,55.067551136016846
TabNet,4,6581.25048828125,3701.751220703125,0.6960550864730776,51.4337956905365
TabNet,5,6463.9609375,3700.43408203125,0.7118709308040796,51.169878244400024
